"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group A","bachelor's degree","free/reduced","none","60","74","74"
"female","group C","some high school","free/reduced","none","50","58","50"
"male","group D","bachelor's degree","standard","completed","80","81","81"
"female","group C","bachelor's degree","standard","none","55","63","63"
"male","group C","associate's degree","free/reduced","none","45","43","38"
"male","group D","some high school","free/reduced","none","42","48","46"
"female","group B","high school","standard","none","32","48","43"
"female","group B","some college","standard","none","51","57","63"
"male","group C","associate's degree","free/reduced","completed","70","73","78"
"male","group D","bachelor's degree","standard","none","84","88","84"
"female","group B","some college","standard","none","47","65","67"
"female","group D","associate's degree","standard","completed","68","73","75"
"female","group C","bachelor's degree","free/reduced","none","80","85","87"
"female","group D","associate's degree","standard","none","65","62","66"
"male","group E","some college","standard","none","69","67","60"
"female","group B","bachelor's degree","free/reduced","completed","77","75","78"
"female","group A","bachelor's degree","standard","completed","59","69","71"
"female","group D","high school","standard","completed","87","91","95"
"male","group E","associate's degree","standard","completed","100","93","92"
"male","group D","master's degree","free/reduced","none","65","72","71"
"female","group C","high school","free/reduced","none","54","72","67"
"male","group A","master's degree","free/reduced","none","62","58","57"
"male","group E","high school","standard","none","50","42","42"
"male","group C","bachelor's degree","standard","completed","96","87","89"
"male","group C","associate's degree","standard","none","67","78","77"
"female","group C","high school","standard","none","87","81","86"
"male","group E","some college","standard","completed","98","100","92"
"female","group B","some high school","standard","completed","66","59","66"
"male","group C","some college","standard","completed","59","66","64"
"male","group D","high school","standard","none","96","84","87"
"female","group C","some high school","standard","completed","71","77","80"
"female","group B","some high school","standard","none","82","96","88"
"female","group D","bachelor's degree","free/reduced","none","45","50","54"
"male","group A","some high school","free/reduced","completed","57","59","62"
"female","group D","some high school","free/reduced","none","45","61","53"
"female","group D","some college","standard","completed","70","79","84"
"male","group C","some high school","free/reduced","none","73","65","61"
"female","group E","some college","standard","completed","84","90","93"
"female","group D","associate's degree","standard","completed","66","77","87"
"female","group B","associate's degree","standard","completed","65","75","73"
"female","group C","some high school","standard","none","51","57","58"
"male","group D","some high school","free/reduced","none","27","31","29"
"female","group E","high school","standard","completed","62","72","76"
"male","group D","bachelor's degree","standard","none","85","77","83"
"female","group B","high school","free/reduced","none","48","49","56"
"female","group C","master's degree","standard","none","58","61","65"
"male","group B","high school","standard","none","72","74","77"
"male","group C","associate's degree","standard","completed","90","87","89"
"male","group A","master's degree","free/reduced","completed","61","64","60"
"male","group B","some college","standard","none","88","84","79"
"male","group E","high school","standard","none","76","73","67"
"female","group B","high school","standard","none","76","92","85"
"female","group B","associate's degree","standard","none","75","79","83"
"female","group C","master's degree","standard","none","87","88","89"
"female","group D","associate's degree","standard","none","60","70","70"
"female","group C","some college","standard","none","66","80","73"
"female","group D","bachelor's degree","free/reduced","none","74","81","82"
"female","group B","master's degree","standard","none","74","80","76"
"male","group C","associate's degree","free/reduced","none","39","39","41"
"male","group B","some college","standard","none","67","68","65"
"male","group B","associate's degree","standard","none","87","86","80"
"female","group B","associate's degree","standard","none","37","49","51"
"male","group E","bachelor's degree","standard","none","92","87","87"
"male","group E","some college","free/reduced","completed","97","99","90"
"male","group C","some high school","standard","none","77","75","75"
"male","group E","associate's degree","standard","none","66","61","46"
"male","group B","some college","standard","none","82","77","76"
"male","group A","high school","standard","none","84","77","71"
"male","group A","bachelor's degree","standard","none","71","62","63"
"female","group B","associate's degree","standard","none","66","77","70"
"male","group D","associate's degree","free/reduced","none","66","52","46"
"female","group E","high school","standard","completed","75","84","87"
"female","group C","master's degree","standard","none","63","85","79"
"male","group C","some college","free/reduced","none","43","36","32"
"male","group D","associate's degree","free/reduced","none","26","29","24"
"female","group D","some high school","standard","completed","74","88","90"
"male","group A","associate's degree","standard","none","65","66","67"
"male","group D","some high school","standard","none","72","66","61"
"male","group D","associate's degree","standard","completed","85","87","88"
"female","group D","high school","standard","none","76","90","87"
"male","group B","some high school","standard","none","61","56","46"
"male","group C","associate's degree","standard","completed","85","80","78"
"female","group C","bachelor's degree","standard","none","86","82","88"
"male","group C","some high school","free/reduced","completed","61","59","58"
"male","group E","master's degree","free/reduced","completed","72","75","70"
"female","group D","associate's degree","standard","completed","54","68","76"
"male","group B","some college","free/reduced","completed","72","76","78"
"female","group A","high school","free/reduced","completed","30","55","48"
"female","group C","high school","free/reduced","completed","42","53","58"
"male","group C","bachelor's degree","standard","completed","97","91","92"
"female","group C","high school","free/reduced","none","66","81","78"
"male","group D","high school","standard","none","55","59","51"
"female","group C","high school","standard","completed","49","68","67"
"female","group A","high school","standard","none","57","63","63"
"male","group C","some high school","free/reduced","none","58","52","50"
"male","group C","some college","standard","none","95","84","75"
"male","group C","some high school","free/reduced","none","62","60","58"
"male","group C","associate's degree","standard","none","82","71","68"
"female","group B","some college","free/reduced","completed","57","67","66"
"male","group B","associate's degree","standard","completed","93","94","91"
"female","group C","bachelor's degree","free/reduced","completed","68","77","79"
"female","group D","some college","free/reduced","none","39","42","47"
"female","group E","some college","standard","completed","100","100","100"
"female","group E","some high school","free/reduced","none","46","57","56"
"female","group C","high school","standard","none","73","75","73"
"male","group D","some high school","free/reduced","completed","72","58","66"
"male","group D","high school","standard","none","66","60","53"
"female","group C","some college","standard","none","64","73","74"
"male","group D","associate's degree","free/reduced","none","58","55","53"
"male","group B","master's degree","standard","completed","61","52","58"
"male","group A","master's degree","free/reduced","completed","58","60","66"
"female","group C","associate's degree","free/reduced","none","57","69","63"
"male","group C","high school","standard","completed","95","88","88"
"female","group D","associate's degree","free/reduced","none","65","70","76"
"male","group C","some college","standard","none","48","42","42"
"male","group D","bachelor's degree","standard","none","72","63","64"
"male","group D","some college","free/reduced","none","55","58","51"
"male","group C","associate's degree","free/reduced","none","43","46","44"
"female","group E","some high school","standard","none","83","77","76"
"female","group D","some college","standard","none","51","58","59"
"female","group B","some college","standard","completed","71","90","90"
"male","group D","associate's degree","standard","completed","79","94","94"
"female","group C","associate's degree","free/reduced","none","59","71","72"
"female","group E","some high school","free/reduced","none","38","39","42"
"male","group D","high school","standard","none","94","88","89"
"female","group C","associate's degree","standard","none","74","80","80"
"female","group C","bachelor's degree","free/reduced","completed","72","88","94"
"male","group E","bachelor's degree","standard","none","75","70","72"
"male","group D","some college","standard","none","59","46","53"
"female","group C","bachelor's degree","free/reduced","none","44","70","64"
"female","group B","associate's degree","free/reduced","completed","58","75","77"
"male","group C","some high school","free/reduced","none","52","44","43"
"female","group C","master's degree","standard","completed","80","95","97"
"male","group D","high school","standard","completed","79","74","68"
"female","group B","master's degree","standard","none","59","70","70"
"male","group B","high school","standard","none","86","80","74"
"female","group C","associate's degree","standard","none","67","74","79"
"male","group C","some high school","standard","completed","71","70","70"
"female","group C","associate's degree","standard","none","79","84","85"
"female","group C","high school","standard","none","61","71","62"
"male","group D","associate's degree","standard","none","89","87","92"
"male","group D","some high school","standard","completed","86","75","75"
"male","group B","associate's degree","standard","none","74","70","66"
"female","group B","associate's degree","free/reduced","none","52","57","56"
"male","group D","master's degree","free/reduced","none","88","84","86"
"female","group D","high school","standard","none","63","69","69"
"male","group C","bachelor's degree","standard","completed","73","73","69"
"female","group E","high school","free/reduced","none","59","70","67"
"female","group A","bachelor's degree","free/reduced","none","77","94","91"
"male","group D","high school","standard","completed","67","62","61"
"male","group C","high school","standard","none","75","82","77"
"female","group C","some college","free/reduced","none","70","73","75"
"female","group D","master's degree","free/reduced","none","67","70","76"
"male","group D","some college","standard","none","69","62","56"
"male","group E","some college","standard","none","70","70","64"
"male","group C","associate's degree","standard","none","71","54","54"
"female","group D","bachelor's degree","standard","none","49","54","63"
"female","group D","associate's degree","standard","completed","47","55","60"
"male","group B","some college","standard","completed","85","79","81"
"female","group D","some high school","standard","none","57","58","60"
"female","group B","bachelor's degree","standard","completed","83","92","98"
"female","group A","some high school","standard","none","57","66","63"
"female","group C","some college","standard","none","80","77","82"
"male","group C","high school","standard","completed","83","69","66"
"female","group D","associate's degree","standard","none","55","66","68"
"female","group D","bachelor's degree","standard","completed","77","78","83"
"female","group C","associate's degree","free/reduced","none","47","51","53"
"male","group D","high school","standard","completed","77","75","83"
"female","group D","bachelor's degree","free/reduced","none","63","71","74"
"female","group D","bachelor's degree","standard","none","64","68","71"
"male","group B","some high school","standard","none","76","75","63"
"female","group C","some college","standard","none","34","46","47"
"male","group A","high school","standard","none","55","51","48"
"female","group C","associate's degree","free/reduced","completed","65","91","90"
"male","group B","bachelor's degree","free/reduced","none","76","81","72"
"female","group D","bachelor's degree","free/reduced","none","78","90","86"
"male","group C","some college","free/reduced","none","62","71","62"
"male","group D","some college","standard","completed","84","79","80"
"female","group C","associate's degree","standard","none","48","57","55"
"male","group A","associate's degree","standard","none","72","69","67"
"female","group C","bachelor's degree","standard","none","90","95","94"
"female","group E","high school","free/reduced","completed","64","77","75"
"female","group D","bachelor's degree","free/reduced","none","43","56","67"
"female","group D","associate's degree","free/reduced","none","59","71","78"
"female","group E","high school","standard","none","90","93","89"
"male","group C","high school","standard","none","39","37","33"
"male","group D","high school","free/reduced","none","57","57","55"
"female","group C","some high school","free/reduced","completed","59","79","73"
"female","group C","some high school","standard","none","54","57","61"
"female","group C","some college","standard","none","76","86","87"
"male","group E","master's degree","standard","none","90","93","82"
"female","group B","bachelor's degree","free/reduced","completed","84","92","95"
"male","group D","associate's degree","standard","completed","70","60","64"
"female","group B","associate's degree","free/reduced","completed","55","72","69"
"female","group B","high school","free/reduced","none","66","73","81"
"male","group C","high school","standard","none","61","65","57"
"male","group D","some college","standard","none","59","62","55"
"male","group D","associate's degree","standard","completed","78","70","77"
"male","group D","bachelor's degree","standard","none","69","58","57"
"male","group E","bachelor's degree","standard","completed","90","75","81"
"male","group C","master's degree","standard","none","69","61","51"
"male","group C","bachelor's degree","standard","none","90","95","94"
"male","group D","high school","standard","completed","72","62","67"
"male","group D","bachelor's degree","standard","none","72","67","65"
"male","group B","high school","standard","none","39","48","38"
"female","group C","master's degree","free/reduced","none","59","63","64"
"female","group C","associate's degree","standard","none","53","59","62"
"male","group B","associate's degree","free/reduced","none","41","48","37"
"male","group E","master's degree","standard","none","90","83","83"
"male","group C","bachelor's degree","standard","none","49","49","46"
"female","group C","associate's degree","standard","none","81","91","89"
"male","group A","some high school","free/reduced","completed","46","42","42"
"female","group C","some high school","free/reduced","none","43","57","48"
"female","group D","some college","free/reduced","none","49","66","73"
"female","group C","high school","free/reduced","none","42","53","47"
"male","group C","associate's degree","free/reduced","none","37","40","40"
"female","group D","master's degree","standard","none","74","79","86"
"female","group C","some high school","free/reduced","none","41","52","42"
"female","group B","master's degree","free/reduced","completed","63","74","72"
"male","group D","high school","free/reduced","none","60","62","60"
"female","group D","some high school","free/reduced","none","51","69","68"
"male","group D","high school","standard","completed","77","77","79"
"female","group B","associate's degree","free/reduced","completed","75","82","87"
"female","group C","some college","free/reduced","none","66","77","75"
"female","group D","master's degree","standard","completed","74","73","85"
"female","group C","some high school","free/reduced","none","72","80","80"
"female","group D","associate's degree","free/reduced","none","52","62","65"
"female","group E","high school","standard","none","61","67","62"
"male","group D","some college","standard","none","63","62","58"
"female","group C","high school","standard","completed","85","82","93"
"male","group D","some college","free/reduced","none","33","46","37"
"female","group D","some college","free/reduced","completed","60","66","78"
"male","group E","master's degree","standard","completed","100","97","100"
"male","group B","some high school","free/reduced","completed","59","52","49"
"male","group D","high school","free/reduced","none","52","57","56"
"male","group A","some high school","free/reduced","completed","49","52","49"
"male","group C","some college","standard","none","86","82","80"
"male","group B","some high school","standard","none","59","55","51"
"male","group B","master's degree","free/reduced","completed","78","74","72"
"female","group D","some college","standard","none","80","93","96"
"male","group B","associate's degree","standard","none","89","87","89"
"male","group A","high school","standard","none","60","45","38"
"female","group B","master's degree","standard","completed","74","74","84"
"male","group C","master's degree","free/reduced","none","75","79","75"
"male","group C","master's degree","standard","none","70","67","63"
"female","group C","high school","free/reduced","completed","43","54","53"
"male","group D","some high school","free/reduced","none","43","36","29"
"male","group D","high school","free/reduced","none","60","66","61"
"female","group B","associate's degree","standard","completed","60","64","72"
"male","group E","some high school","standard","none","83","76","77"
"male","group C","associate's degree","standard","none","87","88","80"
"female","group C","some high school","standard","completed","63","81","85"
"female","group C","high school","standard","none","90","93","89"
"male","group E","some college","free/reduced","completed","56","55","50"
"female","group B","some college","free/reduced","none","55","71","69"
"female","group C","some high school","free/reduced","completed","60","73","70"
"male","group C","some college","standard","none","73","68","61"
"female","group A","some high school","free/reduced","none","58","70","62"
"male","group B","bachelor's degree","free/reduced","none","54","50","51"
"female","group D","associate's degree","standard","none","65","69","67"
"male","group E","associate's degree","free/reduced","completed","84","78","80"
"male","group E","some college","standard","none","86","82","74"
"female","group A","high school","standard","none","73","80","74"
"female","group E","some college","free/reduced","none","53","60","56"
"female","group D","associate's degree","standard","none","75","86","82"
"female","group D","some high school","standard","completed","59","69","71"
"male","group D","associate's degree","standard","none","86","83","85"
"female","group C","some college","standard","completed","71","78","73"
"male","group E","some college","standard","none","90","86","82"
"male","group B","high school","standard","none","68","56","51"
"male","group C","some college","standard","none","61","47","45"
"male","group C","high school","standard","completed","93","89","86"
"female","group D","some college","standard","completed","56","63","70"
"female","group E","some high school","standard","completed","57","51","56"
"female","group A","high school","standard","completed","79","83","78"
"male","group C","high school","free/reduced","none","61","56","55"
"female","group A","some high school","free/reduced","completed","71","81","84"
"male","group A","some high school","standard","none","65","62","52"
"male","group E","associate's degree","standard","none","82","61","57"
"female","group B","high school","standard","none","84","92","89"
"male","group D","associate's degree","free/reduced","none","55","63","62"
"female","group D","some high school","standard","none","70","74","81"
"male","group D","high school","standard","none","64","67","62"
"male","group C","some high school","standard","none","57","58","52"
"female","group E","bachelor's degree","free/reduced","none","77","80","77"
"female","group C","associate's degree","standard","none","60","72","64"
